,World Port Index Number,Region Name,Main Port Name,Country Code,World Water Body,Sailing Direction or Publication,Tidal Range (m),Channel Depth (m),Anchorage Depth (m),Cargo Pier Depth (m),Oil Terminal Depth (m),Harbor Size,Harbor Type,Shelter Afforded,Entrance Restriction - Tide,Entrance Restriction - Heavy Swell,Entrance Restriction - Ice,Entrance Restriction - Other,Overhead Limits,Good Holding Ground,Communications - Telephone,Communications - Radio,Communications - Radiotelephone,Communications - Airport,Communications - Rail,NAVAREA,Facilities - Wharves,Facilities - Anchorage,Medical Facilities,Garbage Disposal,Dirty Ballast Disposal,Cranes - Mobile,Lifts - 0-24 Tons,Services - Longshoremen,Supplies - Provisions,Supplies - Potable Water,Supplies - Fuel Oil,Supplies - Diesel Oil,Repairs,Latitude,Longitude
810,62440.0,Japan -- 61100,Izuhara,Japan,Korea Strait; North Pacific Ocean,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,4.0,14.0,14.0,6.4,0.0,Very Small,Coastal (Natural),Fair,Yes,Yes,Unknown,Yes,No,Yes,Yes,No,Unknown,Unknown,Unknown,XI,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,No,Yes,Yes,Yes,Unknown,Limited,34.2,129.3
811,61960.0,Japan -- 61100,Komatsushima,Japan,Sea of Japan; North Pacific Ocean,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,2.0,7.9,9.4,11.0,0.0,Small,Coastal (Breakwater),Fair,No,No,No,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,XI,Yes,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,Yes,Unknown,Limited,34.016667,134.6
812,62333.0,Japan -- 61100,Matsu-Shima,Japan,East China Sea; North Pacific Ocean,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,3.0,0.0,9.4,7.9,7.9,Very Small,Open Roadstead,Poor,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,XI,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Limited,32.933333,129.6
813,42300.0,Greece East Coast -- 42010,Ormos Mikro Vathi,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,0.0,4.9,11.0,1.8,0.0,Very Small,Coastal (Natural),Fair,No,Yes,No,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,III,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,38.433333,23.6
814,43120.0,Kriti -- 43080,Rethimnon,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,0.0,0.0,15.5,8.0,0.0,Very Small,Coastal (Breakwater),Fair,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,III,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,35.366667,24.466667
815,9680.0,Honduras East Coast -- 9630,Trujillo,Honduras,Caribbean Sea; North Atlantic Ocean,Sailing Directions Pub. 148 (Enroute) - Caribbean Sea - Volume II,1.0,12.5,7.9,4.9,0.0,Very Small,Open Roadstead,Fair,No,No,No,Unknown,No,Unknown,Yes,Yes,Yes,Unknown,Unknown,IV,Unknown,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Yes,Yes,No,Unknown,,15.916667,-85.95
816,43100.0,Kriti -- 43080,Soudha,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,0.0,14.0,23.2,6.4,0.0,Medium,Coastal (Natural),Good,No,No,No,Yes,No,Yes,Unknown,Yes,Yes,Yes,Unknown,III,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Limited,35.483333,24.183333
817,42230.0,Greece East Coast -- 42010,Piraievs,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,0.0,23.2,23.2,15.5,11.0,Large,Coastal (Breakwater),Excellent,No,No,No,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,III,Yes,Unknown,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Major,37.933333,23.65
818,1000.0,Greenland  West Coast -- 545,Pituffik (Thule Air Base),Greenland,Baffin Bay; Arctic Ocean,Sailing Directions Pub. 181 (Enroute) - Greenland and Iceland,3.0,23.2,12.5,9.4,0.0,Very Small,Coastal (Natural),Good,No,No,Yes,Yes,No,Yes,Yes,Yes,Unknown,Unknown,Unknown,XVIII,Yes,Yes,Yes,No,No,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Limited,76.533333,-68.866667
819,41010.0,Croatia -- 40877,Rijeka Luka,Croatia,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,1.0,17.1,23.2,6.4,9.4,Large,River (Basins),Good,Yes,Yes,No,Yes,Unknown,Yes,Unknown,Yes,Unknown,Yes,Yes,III,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Major,45.333333,14.433333
820,40880.0,Croatia -- 40877,Umag,Croatia,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,1.0,6.4,11.0,4.9,0.0,Very Small,Coastal (Breakwater),Fair,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,III,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Limited,45.433333,13.516667
821,51130.0,Jawa -- 50920,Surabaya,Indonesia,Bali Sea; Java Sea; South Pacific Ocean,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,0.0,9.4,20.1,9.4,11.0,Medium,Coastal (Breakwater),Good,Yes,Yes,No,No,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,XI,Yes,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Major,-7.2,112.733333
822,61980.0,Japan -- 61100,Susaki Ko,Japan,Sea of Japan; North Pacific Ocean,Sailing Directions Pub. 158 (Enroute) - Japan - Volume I,2.0,7.9,11.0,14.0,4.9,Very Small,Coastal (Breakwater),Fair,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,XI,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,No,Unknown,,33.383333,133.3
823,62170.0,Japan -- 61100,Tsukumi Ko,Japan,Korea Strait; North Pacific Ocean,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,2.0,23.2,23.2,15.5,0.0,Very Small,Coastal (Breakwater),Fair,No,No,No,Yes,Unknown,Yes,Unknown,Yes,Yes,Unknown,Yes,XI,Yes,Unknown,Yes,Unknown,No,Unknown,Yes,Yes,Unknown,Yes,Yes,Unknown,Limited,33.083333,131.866667
824,50060.0,Indonesia -- 50020,Pulau Sambu,Indonesia,Strait of Malacca; Indian Ocean,Sailing Directions Pub. 174 (Enroute) - Strait of Malacca and Sumatera,2.0,15.5,15.5,0.0,11.0,Small,Coastal (Natural),Fair,Yes,Yes,No,Yes,No,Unknown,Unknown,Yes,Yes,Yes,Unknown,XI,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,1.166667,103.9
825,61965.0,Japan -- 61100,Tachibana,Japan,Sea of Japan; North Pacific Ocean,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,2.0,9.4,9.4,9.4,0.0,Very Small,Coastal (Breakwater),Poor,No,Yes,No,Yes,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,XI,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Limited,33.866667,134.666667
826,50210.0,Indonesia -- 50020,Pangkalpinang,Indonesia,Natuna Sea; South China Sea; South Pacific Ocean,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,3.0,1.8,0.0,0.0,0.0,Very Small,Open Roadstead,Good,Yes,No,No,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Unknown,XI,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Unknown,Unknown,Yes,Unknown,Limited,-2.116667,106.133333
827,51502.0,Kepulauan Anambas -- 51480,Udang Oilfield,Indonesia,South China Sea; North Pacific Ocean,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,0.0,0.0,23.2,0.0,23.2,Very Small,Open Roadstead,Poor,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,XI,Unknown,Yes,Unknown,Unknown,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,4.033333,106.483333
828,51820.0,Indonesia - Borneo -- 51760,Samarinda,Indonesia,Makassar Strait; South Pacific Ocean,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,1.0,6.4,21.6,6.4,6.4,Very Small,River (Natural),Good,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,XI,Yes,Unknown,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Limited,-0.516667,117.116667
829,48399.0,Iraq -- 48375,Umm Qasr,Iraq,Persian Gulf; Indian Ocean,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,1.0,11.0,9.4,9.4,0.0,Small,River (Natural),Excellent,Yes,Unknown,Unknown,Yes,No,Yes,Yes,No,No,Yes,Unknown,IX,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Moderate,30.016667,47.95
830,61760.0,Japan -- 61100,Sakaiminato,Japan,Sea of Japan; North Pacific Ocean,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,1.0,7.9,0.0,4.9,6.4,Very Small,Coastal (Natural),Fair,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,XI,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Limited,35.533333,133.233333
831,50935.0,Jawa -- 50920,Tanjung Sekong,Indonesia,"Indian Ocean, Java Sea; South Pacific Ocean",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,0.0,12.5,0.0,6.4,12.5,Very Small,Coastal (Natural),Fair,No,No,No,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,XI,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,Yes,Unknown,Limited,-5.916667,106.0
832,50040.0,Indonesia -- 50020,Tanjungpinang,Indonesia,Natuna Sea; South China Sea; South Pacific Ocean,Sailing Directions Pub. 174 (Enroute) - Strait of Malacca and Sumatera,1.0,1.8,3.4,21.6,0.0,Very Small,Open Roadstead,Fair,Yes,No,No,Yes,No,Yes,Unknown,Yes,Yes,Unknown,Unknown,XI,Unknown,Unknown,Yes,Unknown,No,Yes,Yes,Yes,No,Yes,No,No,Limited,0.916667,104.45
833,61540.0,Japan -- 61100,Tanabe Ko,Japan,Sea of Japan; North Pacific Ocean,Sailing Directions Pub. 158 (Enroute) - Japan - Volume I,2.0,9.4,23.2,4.9,0.0,Very Small,Coastal (Natural),Fair,Yes,Yes,No,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,XI,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Limited,33.716667,135.366667
834,62121.0,Japan -- 61100,Yahata,Japan,Korea Strait; North Pacific Ocean,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,2.0,7.9,0.0,7.9,0.0,Small,River (Basins),Fair,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,XI,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Limited,33.866667,130.816667
835,40440.0,Italy East Coast -- 40390,Crotone,Italy,Ionian Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,1.0,4.9,14.0,7.9,1.8,Small,Coastal (Breakwater),Good,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,III,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Limited,39.078,17.136
836,40580.0,Italy East Coast -- 40390,Porto Di Barletta,Italy,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,0.0,7.9,6.4,6.4,6.4,Very Small,Coastal (Breakwater),Good,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,Yes,Yes,Yes,III,Yes,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,Limited,41.334,16.292
837,40530.0,Italy East Coast -- 40390,Bari,Italy,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,0.0,11.0,9.4,11.0,12.5,Medium,Coastal (Breakwater),Good,Yes,Yes,No,Yes,Unknown,No,Yes,Yes,Yes,Yes,Yes,III,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Limited,41.146,16.846
838,40660.0,Italy East Coast -- 40390,Ancona,Italy,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,1.0,11.0,11.0,7.9,11.0,Small,Coastal (Breakwater),Good,Yes,Yes,No,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,III,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Moderate,43.629,13.494
839,56550.0,Guam -- 56545,Apra Harbor,Guam,North Pacific Ocean,U.S. Coast Pilot 10 - Oregon Washington Hawaii and Pacific Islands,1.0,11.0,23.2,7.9,14.0,Medium,Coastal (Breakwater),Good,Yes,Yes,No,Yes,No,No,Yes,Yes,Unknown,Yes,Unknown,XI,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,Limited,13.45,144.616667
840,48460.0,Iran -- 48410,Bandar Khomeyni,Iran,Persian Gulf; Indian Ocean,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,4.0,15.5,23.2,12.5,0.0,Small,Open Roadstead,Good,Yes,No,No,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,IX,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Moderate,30.433333,49.083333
841,43165.0,Kriti -- 43080,Kali Limenes,Greece,Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,1.0,12.5,0.0,0.0,14.0,Very Small,Coastal (Natural),Fair,Yes,No,No,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,III,Unknown,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,,34.933333,24.833333
842,41720.0,Greece West Coast -- 41710,Kerkira,Greece,Ionian Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,1.0,7.9,23.2,3.4,6.4,Medium,Open Roadstead,Good,No,No,No,Yes,No,No,Unknown,Yes,Yes,Yes,Unknown,III,Yes,Yes,Yes,Unknown,No,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Limited,39.616667,19.933333
843,39960.0,Italy West Coast Cont -- 39730,Napoli,Italy,Tyrrhenian Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,0.0,14.0,20.1,9.4,12.5,Large,Coastal (Breakwater),Excellent,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,III,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Major,40.833,14.275
844,39210.0,Sardegna -- 39130,Cagliari,Italy,Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,1.0,14.0,12.5,7.9,0.0,Medium,Coastal (Breakwater),Good,No,No,No,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,III,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Limited,39.19,9.102
845,34060.0,Ireland -- 33840,Galway,Ireland,North Atlantic Ocean,Sailing Directions Pub. 142 (Enroute) - Ireland and the West Coast of England,4.0,3.4,9.4,6.4,0.0,Very Small,River (Tide Gates),Fair,Yes,No,No,Yes,No,Unknown,Yes,Yes,Unknown,Yes,Yes,I,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Moderate,53.266667,-9.05
846,42905.0,Kikladhes -- 42870,Mikonos,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,0.0,4.9,20.1,6.4,0.0,Very Small,Coastal (Natural),Poor,No,No,No,Yes,Unknown,No,Unknown,Yes,Yes,Yes,Unknown,III,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Yes,Yes,No,Yes,Unknown,37.45,25.333333
847,50517.0,Sumatera -- 50515,Jabung Batanghari Marine Terminal,Indonesia,Natuna Sea; South China Sea; South Pacific Ocean,Sailing Directions Pub. 174 (Enroute) - Strait of Malacca and Sumatera,0.0,12.5,14.0,11.0,12.5,Very Small,Open Roadstead,Poor,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,XI,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,No,No,No,Unknown,-0.916667,104.066667
848,42600.0,Greece East Coast -- 42010,Kavala,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,1.0,11.0,23.2,7.9,23.2,Small,Coastal (Breakwater),Good,Yes,No,No,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,III,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Limited,40.933333,24.4
849,39830.0,Italy West Coast Cont -- 39730,Anzio - Nettuno,Italy,Tyrrhenian Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,0.0,4.9,7.9,3.4,0.0,Very Small,Coastal (Breakwater),Fair,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,III,Yes,Yes,Unknown,Unknown,No,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,41.446,12.637
850,39860.0,Italy West Coast Cont -- 39730,Gaeta,Italy,Tyrrhenian Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,1.0,23.2,14.0,9.4,0.0,Small,Coastal (Breakwater),Poor,No,No,No,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,III,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Limited,41.223,13.577
851,40550.0,Italy East Coast -- 40390,Molfetta,Italy,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,0.0,7.9,0.0,6.4,0.0,Small,Coastal (Breakwater),Fair,Yes,Yes,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,III,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,,41.216667,16.6
852,42120.0,Greece East Coast -- 42010,Lavrio,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,0.0,4.9,12.5,4.9,4.9,Very Small,Coastal (Breakwater),Fair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,III,Unknown,Unknown,Yes,Yes,Yes,No,Unknown,Yes,Unknown,Yes,Yes,Yes,Limited,37.7,24.066667
853,51120.0,Jawa -- 50920,Gresik,Indonesia,Bali Sea; Java Sea; South Pacific Ocean,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,0.0,14.0,20.1,20.1,7.9,Small,Open Roadstead,Good,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,XI,Yes,Unknown,Yes,Yes,No,Yes,Yes,Unknown,Unknown,Yes,No,Unknown,Limited,-7.15,112.65
854,53130.0,New Guinea West Coast - Irian Jaya -- 52900,Merauke,Indonesia,Arafura Sea; South Pacific Ocean,Sailing Directions Pub. 164 (Enroute) - New Guinea,3.0,4.9,6.4,3.4,4.9,Very Small,River (Natural),Fair,No,No,No,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,XI,Yes,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,No,Yes,No,No,Limited,-8.483333,140.383333
855,34110.0,Ireland -- 33840,Limerick,Ireland,North Atlantic Ocean,Sailing Directions Pub. 142 (Enroute) - Ireland and the West Coast of England,5.0,1.8,11.0,4.9,4.9,Small,River (Tide Gates),Good,Yes,No,No,Yes,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,I,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Limited,52.633333,-8.616667
856,50070.0,Indonesia -- 50020,Lalang Marine Terminal,Indonesia,Strait of Malacca; Indian Ocean,Sailing Directions Pub. 174 (Enroute) - Strait of Malacca and Sumatera,2.0,17.1,21.6,0.0,21.6,Very Small,Open Roadstead,Poor,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,XI,Unknown,Unknown,No,Unknown,No,Unknown,Unknown,Yes,No,No,No,No,Unknown,1.183333,102.216667
857,51890.0,Indonesia - Borneo -- 51760,Banjarmasin,Indonesia,Java Sea; South Pacific Ocean,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,2.0,3.4,20.1,9.4,20.1,Very Small,River (Natural),Excellent,Unknown,Unknown,Unknown,Yes,Yes,No,Unknown,Yes,Yes,Yes,Unknown,XI,Yes,Unknown,Yes,Unknown,No,Yes,Yes,Yes,Unknown,Yes,Yes,Unknown,Limited,-3.333333,114.583333
858,61425.0,Japan -- 61100,Omaezaki Ko,Japan,North Pacific Ocean,Sailing Directions Pub. 158 (Enroute) - Japan - Volume I,2.0,11.0,7.9,12.5,4.9,Small,Coastal (Breakwater),Good,Unknown,Unknown,Unknown,Yes,Unknown,No,Unknown,Yes,Yes,Unknown,Unknown,XI,Yes,No,Unknown,Unknown,Unknown,Yes,No,Yes,Unknown,Yes,Yes,Unknown,Limited,34.6,138.233333
859,61130.0,Japan -- 61100,Nemuro Ko,Japan,North Pacific Ocean,Sailing Directions Pub. 158 (Enroute) - Japan - Volume I,2.0,6.4,14.0,0.0,0.0,Small,Coastal (Breakwater),Fair,Unknown,Yes,Yes,Yes,Unknown,No,Yes,Unknown,Unknown,Unknown,Yes,XI,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,43.333333,145.583333
860,61720.0,Japan -- 61100,Hagi Ko,Japan,Sea of Japan; North Pacific Ocean,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,0.0,6.4,17.1,6.4,0.0,Very Small,Coastal (Natural),Fair,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Unknown,XI,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Limited,34.416667,131.4
861,61730.0,Japan -- 61100,Hamada Ko,Japan,Sea of Japan; North Pacific Ocean,Sailing Directions Pub. 159 (Enroute) - Japan - Volume II,1.0,7.9,12.5,12.5,0.0,Very Small,Coastal (Breakwater),Good,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Yes,Yes,Unknown,XI,Yes,Yes,Yes,Unknown,Unknown,No,Yes,Yes,Unknown,Yes,Yes,Yes,Limited,34.9,132.083333
862,42630.0,Greece East Coast -- 42010,Alexandroupoli,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,1.0,9.4,9.4,9.4,0.0,Medium,Coastal (Breakwater),Fair,Yes,Yes,No,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,III,Yes,Yes,Yes,Unknown,No,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Limited,40.833333,25.883333
863,42840.0,Aegean Islands -- 42640,Neon Karlovas,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,0.0,0.0,23.2,3.4,0.0,Small,Coastal (Breakwater),Fair,No,Yes,No,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,III,Yes,Yes,Yes,Unknown,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Limited,37.8,26.683333
864,42880.0,Kikladhes -- 42870,Gavrio,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,0.0,11.0,4.9,1.8,0.0,Very Small,Coastal (Natural),Fair,No,No,No,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,III,Yes,Yes,Unknown,Unknown,No,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,37.883333,24.733333
865,39190.0,Sardegna -- 39130,Arbatax,Italy,Tyrrhenian Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,0.0,4.9,6.4,7.9,0.0,Very Small,Coastal (Breakwater),Poor,No,Yes,No,Yes,No,Yes,Yes,Unknown,Yes,Unknown,Yes,III,Yes,Yes,Yes,Yes,No,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Limited,39.933333,9.7
866,39550.0,Italy West Coast -- 39330,Marina Di Carrara,Italy,Ligurian Sea; Mediterranean Sea; North Atlantic Ocean,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,0.0,12.5,6.4,9.4,0.0,Very Small,Coastal (Breakwater),Fair,No,No,No,Yes,No,Yes,Unknown,Yes,Yes,Yes,Yes,III,Yes,Yes,Yes,Unknown,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Moderate,44.027,10.047
